protein_id,experiment_name,time_stamp,n_chainbreaks,non_loop_fraction,non_loop_cutoff,radius_of_gyration,status,rejection_reason,error_reason
shx011276,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:09+00:00,0,0.6796116505,0.7,20.47038325,REJECTED,loopy_structure,
shx011441,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:32+00:00,0,0.6796116505,0.7,20.17440693,REJECTED,loopy_structure,
thx003117,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:10:02+00:00,0,0.6796116505,0.7,20.08508454,REJECTED,loopy_structure,
hsl014252,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:28+00:00,0,0.68,0.7,18.80911863,REJECTED,loopy_structure,
htl006059,15082026_16k_production_4_seeds_4_sizes,2026-08-16T18:58:32+00:00,0,0.68,0.7,19.46173881,REJECTED,loopy_structure,
htx007124,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:49:49+00:00,0,0.68,0.7,19.34853501,REJECTED,loopy_structure,
shm009242,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:56:18+00:00,0,0.68,0.7,21.84263228,REJECTED,loopy_structure,
shx011933,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:03:45+00:00,0,0.68,0.7,20.55438574,REJECTED,loopy_structure,
thl002316,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:02:37+00:00,0,0.68,0.7,19.98945515,REJECTED,loopy_structure,
thm001214,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:05:20+00:00,0,0.68,0.7,20.51887733,REJECTED,loopy_structure,
thm001536,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:05:57+00:00,0,0.68,0.7,20.47734573,REJECTED,loopy_structure,
thx003006,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:09:59+00:00,0,0.68,0.7,20.6267277,REJECTED,loopy_structure,
thx003119,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:10:02+00:00,0,0.68,0.7,20.01666443,REJECTED,loopy_structure,
thx003864,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:12:28+00:00,0,0.68,0.7,21.80339093,REJECTED,loopy_structure,
thx003767,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:11:57+00:00,0,0.6801801802,0.7,21.24771749,REJECTED,loopy_structure,
shx011427,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:30+00:00,2,0.6804123711,0.7,21.20784726,REJECTED,chainbreaks;loopy_structure,
shm009915,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:58:18+00:00,0,0.6805555556,0.7,20.32216807,REJECTED,loopy_structure,
thm001205,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:05:19+00:00,0,0.6805555556,0.7,19.69315689,REJECTED,loopy_structure,
ths000351,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:08:02+00:00,0,0.6805555556,0.7,19.46228126,REJECTED,loopy_structure,
ths000552,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:08:26+00:00,0,0.6805555556,0.7,19.65046768,REJECTED,loopy_structure,
ths000650,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:08:42+00:00,0,0.6805555556,0.7,19.39315596,REJECTED,loopy_structure,
thl002290,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:02:34+00:00,0,0.6807228916,0.7,19.73458998,REJECTED,loopy_structure,
htm005749,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:00:19+00:00,0,0.6808510638,0.7,19.18955282,REJECTED,loopy_structure,
hsx015685,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:46:48+00:00,0,0.6811594203,0.7,19.95038679,REJECTED,loopy_structure,
shm009617,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:57:09+00:00,0,0.6811594203,0.7,19.54191563,REJECTED,loopy_structure,
shm009630,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:57:12+00:00,0,0.6811594203,0.7,20.31995448,REJECTED,loopy_structure,
shs008554,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:59:23+00:00,0,0.6811594203,0.7,21.25106963,REJECTED,loopy_structure,
thm001115,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:05:15+00:00,0,0.6811594203,0.7,22.35331797,REJECTED,loopy_structure,
thm001845,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:07:02+00:00,0,0.6811594203,0.7,19.94858099,REJECTED,loopy_structure,
thm001908,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:07:19+00:00,0,0.6811594203,0.7,20.59699446,REJECTED,loopy_structure,
ths000863,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:09:25+00:00,0,0.6811594203,0.7,20.78656424,REJECTED,loopy_structure,
thl002835,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:04:20+00:00,0,0.6813186813,0.7,20.89015048,REJECTED,loopy_structure,
shx011410,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:27+00:00,0,0.681372549,0.7,21.43207227,REJECTED,loopy_structure,
htm005171,15082026_16k_production_4_seeds_4_sizes,2026-08-16T18:59:26+00:00,0,0.6818181818,0.7,18.62822868,REJECTED,loopy_structure,
shm009788,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:57:45+00:00,0,0.6818181818,0.7,19.92277605,REJECTED,loopy_structure,
